步道名稱,地區,難度,所需時間,連結,圖片連結
雪山東峰登山山徑,臺中市和平區,中,8 小時 35 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1734,https://cdntwrunning.biji.co/300_9e634e8edb28dc71beab64d33f0f1e44.jpg
北三段(能高安東軍),"南投縣仁愛鄉,花蓮縣秀林鄉,花蓮縣萬榮鄉",高,6 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=652,https://cdntwrunning.biji.co/300_1a340feb07eff9fe6a25e8695af6abe4.jpg
奇萊連峰登山步道,"南投縣仁愛鄉,花蓮縣秀林鄉",高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=644,https://cdntwrunning.biji.co/300_d6d4a3cd59bdb2dd8575dd2d33c4e8eb.jpg
北一段(南湖、中央尖),"臺中市和平區,宜蘭縣大同鄉,花蓮縣秀林鄉",高,7 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=646,https://cdntwrunning.biji.co/300_39b0fb0893dde9e9123e97a0ab1ded4e.jpg
南二段,"南投縣信義鄉,高雄市桃源區,花蓮縣卓溪鄉,臺東縣海端鄉",高,8 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=632,https://cdntwrunning.biji.co/300_9548e1bf33665b778bff8f435846c5d7.jpg
合歡西峰下華崗,"南投縣仁愛鄉,花蓮縣秀林鄉",中,9 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1032,https://cdntwrunning.biji.co/300_af8dd7b07b77e4def64229043375c509.jpg
八大秀(八通關山、大水窟山、秀姑巒山),"南投縣信義鄉,花蓮縣卓溪鄉",高,4 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=623,https://cdntwrunning.biji.co/300_ccc0885dd3b0315849b931b42de8cb2a.jpg
天巒池下武法奈尾山出將軍廟,"南投縣仁愛鄉,花蓮縣秀林鄉",中,5 小時 50 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=692,https://cdntwrunning.biji.co/300_1fd7a782a5cb2f03f49ba435d6508f6e.jpg
大霸北稜線,"新竹縣尖石鄉,苗栗縣泰安鄉",高,4 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=639,https://cdntwrunning.biji.co/300_244d726d4b986ff445d6caaac853bc6a.jpg
玉山後四峰登山步道,"南投縣信義鄉,嘉義縣阿里山鄉,高雄市桃源區",高,4 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=590,https://cdntwrunning.biji.co/300_5e8feabf41579e2a93d153e5fec6bf54.jpg
大小劍(大劍山、小劍山),臺中市和平區,高,4 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=689,https://cdntwrunning.biji.co/300_ecad12aa34012c7ada42858b9e5b7d21.jpg
塔關山登山步道,"高雄市桃源區,臺東縣海端鄉",中,3 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1761,https://cdntwrunning.biji.co/300_c823073e00e56d6519f5188cae933824.jpg
雪山西稜線,"苗栗縣泰安鄉,臺中市和平區",高,6 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=641,https://cdntwrunning.biji.co/300_c47f046ad9aaf968d82110fe350e1e3f.jpg
關山嶺山登山步道,"高雄市桃源區,臺東縣海端鄉",中,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1760,https://cdntwrunning.biji.co/300_f9f8d6825193e48539a2070a9f9ce5c9.jpg
庫哈諾辛山登山步道,高雄市桃源區,中,5 小時 20 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1762,https://cdntwrunning.biji.co/300_8f382330ffa1ca15301df9a85deaad56.jpg
聖稜線O型縱走(O聖),"新竹縣尖石鄉,苗栗縣泰安鄉,臺中市和平區",高,5 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=636,https://cdntwrunning.biji.co/300_8b1e4850cec7a2ae0a6ad2c52f393dd4.jpg
武陵二秀(品田/池有),"新竹縣尖石鄉,臺中市和平區",中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1737,https://cdntwrunning.biji.co/300_0b1548bbef6f4e3f68f30064e0d44534.jpg
北二段,"臺中市和平區,花蓮縣秀林鄉",高,5 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=666,https://cdntwrunning.biji.co/300_84d29194f6080d5b6dea7e161dae4507.jpg
玉山主峰單日往返,"南投縣信義鄉,高雄市桃源區",中-高,15 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=1757,https://cdntwrunning.biji.co/300_a8beb7933e49a2c280cec8b87ba10f2a.jpg
南一段,"高雄市桃源區,臺東縣海端鄉",高,6 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=630,https://cdntwrunning.biji.co/300_d510f73553a6caa4f3cc002a7a867acf.jpg
武陵二秀(桃山/喀拉業),"新竹縣尖石鄉,臺中市和平區,宜蘭縣大同鄉",中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1746,https://cdntwrunning.biji.co/300_4cbc9bcb22e36d85661de63c69cd4b8d.jpg
奇萊東稜,"南投縣仁愛鄉,花蓮縣秀林鄉",高,6 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=643,https://cdntwrunning.biji.co/300_ab3ea5c459c410b8e3de9ceeff83cf7d.jpg
干卓萬群峰線,"南投縣仁愛鄉,南投縣信義鄉",高,6 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=881,https://cdntwrunning.biji.co/300_13ce4697fd314b91a8eb4bc39a36a399.jpg
秀霸線,"新竹縣尖石鄉,苗栗縣泰安鄉,臺中市和平區",高,4 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=637,https://cdntwrunning.biji.co/300_eee3a4a45f49c849a046aae7785dc04b.jpg
雪山主東峰單日往返,"苗栗縣泰安鄉,臺中市和平區",中-高,16 小時 25 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1735,https://cdntwrunning.biji.co/300_0f3fe9c963ebee2cb88ab21b5bd952ca.jpg
馬博拉斯橫斷(馬博橫斷),"南投縣信義鄉,花蓮縣卓溪鄉",高,8 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=625,https://cdntwrunning.biji.co/300_7d75224f6525702d1f333fd2db1a0031.jpg
北大武山單日往返,"屏東縣泰武鄉,臺東縣金峰鄉",高,15 小時 45 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1750,https://cdntwrunning.biji.co/300_838c66c54389be5ed0e8a4b089e4ba6f.jpg
新康橫斷出瓦拉米,"花蓮縣卓溪鄉,臺東縣海端鄉",高,6 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=631,https://cdntwrunning.biji.co/300_d2be6f30bc2221df70be04c50670e957.jpg
雪劍線,臺中市和平區,高,5 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=640,https://cdntwrunning.biji.co/300_15cf89ab2a4ec657c6a3fcf0abd0a928.jpg
八通關日治越道線,"南投縣信義鄉,花蓮縣卓溪鄉",高,8 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=627,https://cdntwrunning.biji.co/300_8402c7a6c64ec949268a3ae2ec6e64a0.jpg
能高越嶺西段上卡賀爾、能高主峰,"南投縣仁愛鄉,花蓮縣秀林鄉",中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1507,https://cdntwrunning.biji.co/300_de0411624579daca52d98f2b9959ce53.jpg
南三段(丹大、東郡橫斷),"南投縣信義鄉,花蓮縣瑞穗鄉,花蓮縣萬榮鄉,花蓮縣卓溪鄉",高,10 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=667,https://cdntwrunning.biji.co/300_2a61a959de489f7125a1bcd88d023ad6.jpg
聖稜線I型縱走(I聖),"新竹縣尖石鄉,苗栗縣泰安鄉,臺中市和平區",高,6 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=719,https://cdntwrunning.biji.co/300_3ac8ef094c8f9ed672ba9795c8474eb7.jpg
六順山、七彩湖登山步道（丹大進出）,"南投縣信義鄉,花蓮縣萬榮鄉",中-高,5 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1668,https://cdntwrunning.biji.co/300_178c8361661d45440b0731d94d75ea72.jpg
聖稜線Y型縱走(Y聖),"新竹縣尖石鄉,臺中市和平區,宜蘭縣大同鄉",高,7 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=710,https://cdntwrunning.biji.co/300_a35891d7661f1d77b44a681000be476b.jpg
庫哈諾辛、關山線,"高雄市桃源區,臺東縣海端鄉",中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1765,https://cdntwrunning.biji.co/300_8c7a38031840a675f0aafc263c2f6b41.jpg
喀拉業山單日往返,"新竹縣尖石鄉,臺中市和平區,宜蘭縣大同鄉",中-高,17 小時 15 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1739,https://cdntwrunning.biji.co/300_2d637893204dbff1a5ab5cfca5a0e07a.jpg
奇萊南峰步道、南華山步道(奇萊南華)單日往返,"南投縣仁愛鄉,花蓮縣秀林鄉",中-高,15 小時 15 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1768,https://cdntwrunning.biji.co/300_84e41776c5c57081c2163a832d62a8fa.jpg
屏風山單日往返,花蓮縣秀林鄉,高,16 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1769,https://cdntwrunning.biji.co/300_79494e5a1345dc6ef95947ca6ca25b54.jpg
品田山單日往返,"新竹縣尖石鄉,臺中市和平區",高,19 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1736,https://cdntwrunning.biji.co/300_4c44f4176f1839bfaeed076d93369ce5.jpg
治茆山連走西巒大山、巒安堂,南投縣信義鄉,中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=908,https://cdntwrunning.biji.co/300_65e78e02ade82c74df897cc24a6ce499.jpg
奇萊北壁下屏風山,"南投縣仁愛鄉,花蓮縣秀林鄉",高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1485,https://cdntwrunning.biji.co/300_52c4db3f92173f4682927e06f385f5e9.jpg
白姑大山單日往返,"臺中市和平區,南投縣仁愛鄉",高,21 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1770,https://cdntwrunning.biji.co/300_37b6f7825466ec2360ff8893ce99dd8f.jpg
小關山林道上小關山,高雄市桃源區,中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1677,https://cdntwrunning.biji.co/300_56c3b7a4f34b46fb1c7a5a171765de7a.jpg
雪山主北下翠池,"苗栗縣泰安鄉,臺中市和平區",中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1738,https://cdntwrunning.biji.co/300_c80b248a808f2a41be9b308b4c626f92.jpg
大劍山線,臺中市和平區,中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1774,https://cdntwrunning.biji.co/300_ee3c96ba23ed6c9257db97379274ee64.jpg
嘉明湖單日往返,臺東縣海端鄉,中-高,15 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=1771,https://cdntwrunning.biji.co/300_34a918833db4868c13198e7ea8055534.jpg
八通關上玉山(東埔進塔塔加出),"南投縣信義鄉,高雄市桃源區",中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1756,https://cdntwrunning.biji.co/300_2d70205d94aad40c5dbcc358588437e4.jpg
六順山、七彩湖登山步道(萬榮進、丹大出),"南投縣信義鄉,花蓮縣萬榮鄉",高,5 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1665,https://cdntwrunning.biji.co/300_5f76046ecbf0bfa0dcd1b77475eb3f8b.jpg
志佳陽雪山線,臺中市和平區,中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1689,https://cdntwrunning.biji.co/300_6b0d1e9544a12f3b8247433c0735ff2b.jpg
閂山單日往返,臺中市和平區,中-高,10 小時 15 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1749,https://cdntwrunning.biji.co/300_d09e4a11f52f9b0b1ba5061e40bdab84.jpg
卯畢羊縱走(卯木山、畢祿山、羊頭山),"南投縣仁愛鄉,花蓮縣秀林鄉",中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1839,https://cdntwrunning.biji.co/300_ee5b63d894cd8084a9f363f8fb47a8ea.jpg
中央尖、死亡稜線,"臺中市和平區,宜蘭縣大同鄉,花蓮縣秀林鄉",高,5 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1474,https://cdntwrunning.biji.co/300_f2d888468b8a200c132c02590cfda6c8.jpg
東埔上郡大下開高巷o型,南投縣信義鄉,中-高,2 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1821,https://cdntwrunning.biji.co/300_74dffcb4e7a8a0cab29b387fd7c1ac19.jpg
北一段縱走北二段,"臺中市和平區,宜蘭縣大同鄉,花蓮縣秀林鄉",高,8 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1759,https://cdntwrunning.biji.co/300_4bdbe5ebee51793853cfd92ad779a7ad.jpg
楠梓仙溪上南玉山,高雄市桃源區,中-高,3 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1873,https://cdntwrunning.biji.co/300_94201c14512b3220376243e6b71578ad.jpg
新康山線(向陽進出),"花蓮縣卓溪鄉,臺東縣海端鄉",高,5 天,https://hiking.biji.co/index.php?q=trail&act=detail&id=1775,https://cdntwrunning.biji.co/300_dff47355a390dd662883ee35caec3915.jpg
