步道名稱,地區,難度,所需時間,連結,圖片連結
桃園石門山步道,桃園市龍潭區,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=232,https://cdntwrunning.biji.co/300_6be4919e7ad5ea1d78591b424eb00db10097e1ad2a91be20bf489fb8798b7330.jpg
情人湖、大武崙砲台、大武崙山步道,基隆市安樂區,低,1 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=404,https://cdntwrunning.biji.co/300_1cd634a1c5d3d68492a4b150f2671235efe393177f141baa7f383fdee4f161a6.jpg
鳶山登山步道,新北市三峽區,低,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=89,https://cdntwrunning.biji.co/300_3261d59ad925fb05ebadc6b5f266282e3d1a63fc1b8c3cba653dedd08033ebc8.jpg
大坑4號步道,臺中市北屯區,低-中,2 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=562,https://cdntwrunning.biji.co/300_ee0d32ed4c69e994258a20c2543401fa.jpg
十八尖山步道,新竹市東區,低,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=234,https://cdntwrunning.biji.co/300_79bcb456975304dc63559d06b3a313288713e171e44ce2dcb33cfc805d8afcd7.jpg
大屯主峰-連峰步道,"臺北市北投區,新北市淡水區",低-中,3 小時 50 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=664,https://cdntwrunning.biji.co/300_8b6387a22cf23a26e0dfe52483fd553d.jpg
基隆山步道,新北市瑞芳區,低,1 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=399,https://cdntwrunning.biji.co/300_2b1cfc6188ebaf28825d5dca13fa8dd8.jpg
飛鳳山、觀日坪古道,新竹縣芎林鄉,低,2 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=593,https://cdntwrunning.biji.co/300_858461478c8d2589dcf620eebc058489.jpg
獨立山國家步道,嘉義縣竹崎鄉,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=310,https://cdntwrunning.biji.co/300_042a148eff3abfa9f334a0ac398fdb51ff98272e2ce347d258a67fcbe5467790.jpg
大崙頭尾山親山步道,臺北市士林區,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=35,https://cdntwrunning.biji.co/300_15b1f2ade6d1ebaf4fc9c9add5eac92e.jpg
南港山縱走親山步道(拇指山、南港山、象山、九五峰),"臺北市信義區,臺北市南港區",低-中,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=78,https://cdntwrunning.biji.co/300_d237f31cf88c83640de81c6bd508b91fb167dcf327f91352f14b0e836397ba10.jpg
樹林大棟山、青龍嶺、大同山步道,"新北市樹林區,桃園市龜山區",低-中,4 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=212,https://cdntwrunning.biji.co/300_d46e9235662732e671ad683700b4a308f6da5bd341dadd7a3635c653225afea0.jpg
關仔嶺大凍山步道,"嘉義縣大埔鄉,臺南市白河區",低-中,4 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=308,https://cdntwrunning.biji.co/300_d7b3c11425091778b59b885da3418f054a92074f5d8d0ee98620e730c5cc89c0.jpg
北柴山登山步道(北壽山),高雄市鼓山區,低,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=325,https://cdntwrunning.biji.co/300_0866a6abdd15f7162ef36b4879c2b7e81e3fce57505fde229c1af9104c4e90af.jpg
獅山古道,"新竹縣峨眉鄉,苗栗縣南庄鄉",低,2 小時 20 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=793,https://cdntwrunning.biji.co/300_e62d6bbef32bfa435ef54bbff703cd9d.jpg
天上山步道,新北市土城區,低,2 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=104,https://cdntwrunning.biji.co/300_84fdba24055055afad22482c467bade9bc438660f51e2ad6d988fa4daa3204dc.jpg
五分山步道,"基隆市暖暖區,新北市瑞芳區,新北市平溪區",低-中,3 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=115,https://cdntwrunning.biji.co/300_cca3f4236db2b2e871e93e94abc26908e96019b01ed2a8f4cd9e2e5387b7fa73.jpg
姜子寮山步道,"基隆市暖暖區,基隆市七堵區",低,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=463,https://cdntwrunning.biji.co/300_9dfc27db18fcfb85fe79dd0bf517a1e42d1e8e3ecaeb762536379c6f74f3a285.jpg
大尖山步道,新北市汐止區,低,45 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=139,https://cdntwrunning.biji.co/300_3e42bdce11c8e5411f222f2306542de0.jpg
南庄向天湖山步道,苗栗縣南庄鄉,低-中,2 小時 45 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=738,https://cdntwrunning.biji.co/300_796e4acbbc3d61a9e8486252af0785ec.jpg
仙山登山步道,"苗栗縣南庄鄉,苗栗縣獅潭鄉",低-中,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=256,https://cdntwrunning.biji.co/300_bf698493a0a0f1f1d3010fd19f282727.jpg
雲嘉大尖山、二尖山步道,嘉義縣梅山鄉,低-中,3 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=572,https://cdntwrunning.biji.co/300_f8ae173e78b71ed3dfa0641c8d242423.jpg
五指山登山步道,新竹縣竹東鎮,低-中,4 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=243,https://cdntwrunning.biji.co/300_ced2978db0ba6066d6ce73cd6784e6604771913e59e070c120dc9aaf90910c58.jpg
大坑5號、5-1號步道(頭嵙山),臺中市北屯區,低-中,3 小時 20 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=848,https://cdntwrunning.biji.co/300_16c5bc1bb1a6797e20ad670332f803a5.jpg
槓子寮砲台、槓子寮山步道(龍崗步道),"基隆市信義區,基隆市中正區",低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=402,https://cdntwrunning.biji.co/300_20e07f0618dcbf70c63ccc5217dafb31cd284f14c04bcc0ad9cd40ec721df90a.jpg
金門太武山步道,"金門縣金沙鎮,金門縣金湖鎮",低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=385,https://cdntwrunning.biji.co/300_30a6667c9e221fff4e8cabf737ef0ef966262b82403d83c98e387ac9e55f260b.jpg
太麻里金針山木馬步道,臺東縣太麻里鄉,低,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=340,https://cdntwrunning.biji.co/300_53225a9da83275d0436622353ee52d86bae74d7ff63ae066f37ffee85546a995.jpg
獅仔頭山登山步道,新北市新店區,低,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=185,https://cdntwrunning.biji.co/300_ee0a1da0bd17a37df6608688e04dcd07d8d001e83027eb73adad4dd4fa9581c1.jpg
貓囒山步道,南投縣魚池鄉,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=448,https://cdntwrunning.biji.co/300_74737caa4fcc3ea749d3dfa9d00abfb344336deda53ddb0e75a35820c065d1e6.jpg
二格山登山步道(草湳線),新北市石碇區,低-中,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=135,https://cdntwrunning.biji.co/300_0186a6ace3839812764be72262bc809d.jpg
七星山主東峰苗圃線,臺北市北投區,低-中,2 小時 50 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1169,https://cdntwrunning.biji.co/300_f65f444443d5c1c8218f5090f1622637.jpg
里龍山自然步道,"屏東縣獅子鄉,屏東縣牡丹鄉",中,7 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=336,https://cdntwrunning.biji.co/300_ea8e31a9c0705e9e0ffab7de9b7e26be00d03a19629a7c4bf4fac3db31da3c53.jpg
大社觀音山步道,高雄市大社區,低-中,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=602,https://cdntwrunning.biji.co/300_18fe323fcc11bc21a931901bdc2ac2fa.jpg
塔山步道(大塔山),嘉義縣阿里山鄉,低-中,5 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=316,https://cdntwrunning.biji.co/300_2b2ba448e38ecad52371184e4ba1d59ac7871dd779a13fbdc31bcf94062f9612.jpg
石牛山步道,"桃園市復興區,新竹縣關西鎮",低-中,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=580,https://cdntwrunning.biji.co/300_d94366457b2e52b7af53e90b3dae0d72.jpg
圓通寺登山步道(南勢角山),新北市中和區,低-中,4 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=106,https://cdntwrunning.biji.co/300_1012de62cf50d15fc78dbf007f1ab0cd3714f9bf7b3789230baf9aac1707f525.jpg
鵝公髻山步道,"新竹縣五峰鄉,苗栗縣南庄鄉",低-中,4 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=473,https://cdntwrunning.biji.co/300_85acad579cdc8c486f0ffd0368b1d94c7dc1b4c44fd5be6eae3a86ef3e53e256.jpg
臺北大縱走第五段：捷運劍潭站至碧山巖（劍潭支線）,"臺北市中山區,臺北市士林區,臺北市內湖區",低-中,6 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1469,https://cdntwrunning.biji.co/300_a673d0dc82f2bd32096c02128484ce0d.jpg
旗尾山步道,高雄市旗山區,低-中,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=597,https://cdntwrunning.biji.co/300_97afcaafc29972e7004085ca26201213.jpg
尾寮山登山步道,"高雄市茂林區,屏東縣三地門鄉",中,8 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=321,https://cdntwrunning.biji.co/300_2ad7325b39054da8e7be71a90e477e02c8565c1c2b48edaaff127d240dbe50b4.jpg
咬人狗坑登山步道(三汀山),臺中市太平區,低,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=5,https://cdntwrunning.biji.co/300_43f763d90d42f1201850ae06ad5904dfd21d02df800d2337f95a94c7464a7835.jpg
觀音山、尖山(占山)登山步道,"新北市五股區,新北市八里區",低-中,3 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=596,https://cdntwrunning.biji.co/300_492a4cf8e4d3b224e2f3803b410d164a.jpg
李崠山步道,新竹縣尖石鄉,低-中,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=444,https://cdntwrunning.biji.co/300_1acaf5907ff9d3c9444632983fbdf2f7fc29169ca4fa209d8a0726943490d2b0.jpg
聚興山、新田登山步道,臺中市潭子區,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=592,https://cdntwrunning.biji.co/300_4813573122eae173200c860a05f3cc87.jpg
溪洲山步道(福山巖登山步道),桃園市大溪區,低-中,3 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=598,https://cdntwrunning.biji.co/300_29d639d13f31f7fc8a30a7c24922b554.jpg
大崗山步道,高雄市阿蓮區,低,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=504,https://cdntwrunning.biji.co/300_57d0b27abf1a83eaafc554d2e3104bafd555e6c123c328fb3efbb4934138d5e8.jpg
三角崙山登山步道,"新北市坪林區,宜蘭縣礁溪鄉",中,6 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=788,https://cdntwrunning.biji.co/300_2f6cb9b8fbe0774ed2544bea8b0adb96.jpg
紅淡山步道,基隆市仁愛區,低,1 小時 55 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=477,https://cdntwrunning.biji.co/300_2ae78e8eb60e727f329a4c460f20c06ebe8c2fcc028eb11b936ad363eea2004b.jpg
臺北大縱走第三段：小油坑至風櫃口,"臺北市士林區,臺北市北投區,新北市萬里區,新北市金山區",低-中,7 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1467,https://cdntwrunning.biji.co/300_4c2efbea23339ac20a6831042a2ec149.jpg
鐵砧山登山步道,"臺中市大甲區,臺中市外埔區",低,1 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=595,https://cdntwrunning.biji.co/300_2e8af0554e4f99605f108cafe8464f42.jpg
臺北大縱走第二段：二子坪至小油坑,"臺北市北投區,新北市淡水區,新北市三芝區",低-中,6 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1466,https://cdntwrunning.biji.co/300_402bf9b512f47c16bb86765b41d720aa.jpg
稍來山步道,臺中市和平區,低-中,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=1383,https://cdntwrunning.biji.co/300_3f2bc6032bf091b5a65f0ca356627743.jpg
更寮古道(土庫岳),"臺北市南港區,新北市深坑區",低,1 小時 50 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=81,https://cdntwrunning.biji.co/300_c03efe23db970b919f6372aca5f5fe3251ba5beb91265541ec11554db92ed519.jpg
灣坑頭山步道,"新北市貢寮區,宜蘭縣頭城鎮",低,2 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=460,https://cdntwrunning.biji.co/300_705605c4defa9edde5cc15d4ba0216bfc0a58d1b7819eece7f212c09126564f0.jpg
楓櫃斗湖步道,"新北市五股區,新北市八里區",低,1 小時 15 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=83,https://cdntwrunning.biji.co/300_02acda779f8628bc55f657bcf9548197.jpg
崁頭山步道,臺南市東山區,低-中,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=319,https://cdntwrunning.biji.co/300_10f8a094186336a2d55b32c0ed4ee6abbbd7ae3f3a6b4664a68d025ad6fee1ee.jpg
金柑樹山、忘憂森林步道,"南投縣信義鄉,南投縣竹山鎮",低-中,4 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=582,https://cdntwrunning.biji.co/300_cbb74cd12d90ee8081a328212dd54286.jpg
情人湖環山步道、老鷹岩,"基隆市中山區,基隆市安樂區",低,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1626,https://cdntwrunning.biji.co/300_db305fd8e54f52fcefaae2821e2d0d97.jpg
花蓮鯉魚山步道群,花蓮縣壽豐鄉,低,3 小時 35 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=365,https://cdntwrunning.biji.co/300_5804f2ae8b588f4835cc48ad7bb18593366902fa0728b236077d23c5a88be4c2.jpg
橫山步道,"彰化縣社頭鄉,南投縣南投市,南投縣名間鄉",低,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=432,https://cdntwrunning.biji.co/300_7197aff8c49736f24014f07fd19ad3c738c45902be3380665e2eb0abe728dcaa.jpg
笠頂山步道,屏東縣瑪家鄉,低,2 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=557,https://cdntwrunning.biji.co/300_1e93836310e873c6c60ff3ab228d072f.jpg
出關古道：聖關段(關刀山步道),"苗栗縣大湖鄉,苗栗縣三義鄉",低,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=415,https://cdntwrunning.biji.co/300_cf70191cc96b7a2413da5359ccd0254e51dc0aa6ab8bd86d0a40e3beaa737f50.jpg
萬人山、六十石山步道群,花蓮縣富里鄉,低,1 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=361,https://cdntwrunning.biji.co/300_561a85f4f9b954d0971285d492ad8be3e936ae608eb220d1b6ce2d7f436eae1c.jpg
嘉南雲峰、石壁山登山步道,"南投縣竹山鎮,雲林縣古坑鄉,嘉義縣阿里山鄉",低-中,4 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=801,https://cdntwrunning.biji.co/300_8cd5396ebaa8d00513799ad7bac37bf6.jpg
陽明山東段縱走,"臺北市士林區,臺北市北投區,新北市萬里區,新北市金山區",低-中,6 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=1113,https://cdntwrunning.biji.co/300_2ad1d4e137d32cbb0a1367e474bcc2a7.jpg
溪頭鳳凰山步道,南投縣鹿谷鄉,低-中,6 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=695,https://cdntwrunning.biji.co/300_03067aa4f3ad074fd0cbece02b9c7f95.jpg
南觀音山步道,臺中市北屯區,低,1 小時 10 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=594,https://cdntwrunning.biji.co/300_a166d4906a4bf2522ba6bae9ef739e51.jpg
梨子腳山步道,嘉義縣梅山鄉,低,1 小時 5 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=583,https://cdntwrunning.biji.co/300_75b68f7d43dd78edf14023446638d43b.jpg
壽山、泰國谷、一簾幽夢步道,高雄市鼓山區,低-中,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=1366,https://cdntwrunning.biji.co/300_fb8c9c7b2f8f825a24e0b8ab754657bc.jpg
陽明山西段縱走,"臺北市北投區,新北市淡水區,新北市三芝區",低-中,6 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=1115,https://cdntwrunning.biji.co/300_934099e6d4b6d929c21dc1b71e2ca21c.jpg
蘭潭後山步道、紅毛埤山,嘉義市東區,低,1 小時 20 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=307,https://cdntwrunning.biji.co/300_e0c528f4ceebfa91a601c2f182eb12df06af1cb061b58ef3233fad703e630eea.jpg
竹子尖山步道,"臺南市楠西區,臺南市南化區",低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=816,https://cdntwrunning.biji.co/300_11e9af7985bc952f88965461b3756109.jpg
七星主峰–東峰步道(3登山口),臺北市北投區,低-中,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=1929,https://cdntwrunning.biji.co/300_b21ffe3a4c271f6c1f8d23c066cbba6f.jpg
旗靈縱走(旗尾山、靈山),"高雄市旗山區,高雄市美濃區",低-中,4 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=499,https://cdntwrunning.biji.co/300_9f9cd7af6ff06fa5300bc8a37257403ec0ce72217ae85fffc627a79407671b37.jpg
阿罩霧山、中心瓏步道,臺中市霧峰區,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=568,https://cdntwrunning.biji.co/300_86e73b9b3c9eadc4372abb04af69cb77.jpg
松柏坑山、田園茶香賞茶步道,南投縣名間鄉,低,45 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=607,https://cdntwrunning.biji.co/300_10dfa104f231d14247dd8721db71b07d.jpg
火炎山、北鞍古道O走,苗栗縣三義鄉,低,3 小時 5 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1643,https://cdntwrunning.biji.co/300_789aa91f9153f36d81515a1af3ac1c0a.jpg
棚集山步道,屏東縣來義鄉,低-中,4 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=789,https://cdntwrunning.biji.co/300_937e7e3d83cd5877d156f8585337563d.jpg
桃園金面山步道,桃園市大溪區,低-中,4 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=783,https://cdntwrunning.biji.co/300_4f2d5b8dd219b37eed24e3afe3812f92.jpg
都蘭山步道,臺東縣東河鄉,低-中,5 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=346,https://cdntwrunning.biji.co/300_4fe9e164596265652b6b138270f773e6dba54a735ab768d6ce2b3d9ba01d8752.jpg
觀音山北橫古道,"新北市五股區,新北市八里區",低,3 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=395,https://cdntwrunning.biji.co/300_38e7a577a2797082e9d0dbf0d2c0d806.jpg
後尖山步道,南投縣魚池鄉,低,1 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=573,https://cdntwrunning.biji.co/300_08df78c876cd2a938a34195670a3977f.jpg
雷霆峰步道(基隆山東峰、黃金一稜),新北市瑞芳區,中,3 小時 50 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=600,https://cdntwrunning.biji.co/300_885e83d4f40e3844b5001c2cd90dd6c8.jpg
集集大山、車埕步道,"南投縣中寮鄉,南投縣集集鎮,南投縣水里鄉",低,1 小時 50 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=576,https://cdntwrunning.biji.co/300_d47fdac0e8f20b1c1992683dcd7e1848.jpg
挑筍古道(大尖山、後棟仔山步道),"雲林縣古坑鄉,嘉義縣梅山鄉",低,3 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=589,https://cdntwrunning.biji.co/300_75632c75273da1f5872e666212c3dc11.jpg
九份二山步道,"南投縣中寮鄉,南投縣國姓鄉",低,1 小時 50 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=567,https://cdntwrunning.biji.co/300_b3a790b77d344c147dd8e93f7df02d3d.jpg
暗影山步道,"臺中市太平區,臺中市新社區",低,30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=556,https://cdntwrunning.biji.co/300_3ebdf8c43ab807da247e44892335b54821ef11eaae94935ec202575bdb4001c9.jpg
藤枝山步道,高雄市桃源區,低,25 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1104,https://cdntwrunning.biji.co/300_11b8373a6cbd8b8035f9ca5fc4e993d1.jpg
牛寮埔登山步道,新北市八里區,低,1 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=82,https://cdntwrunning.biji.co/300_bbb696b06855c198b0bd9ca9803b0daa3962940036e55b201f8dba7824045cb5.jpg
雲嘉五連峰縱走,"雲林縣古坑鄉,嘉義縣梅山鄉",中,7 小時 20 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1167,https://cdntwrunning.biji.co/300_4b6f7675355481380e3a9e85c774740d.jpg
哈加縱走(哈堪尼山、加里山),苗栗縣南庄鄉,中,8 小時 50 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=712,https://cdntwrunning.biji.co/300_185fb64b5bb5ac7206f091f4b9f2ef82.jpg
神仙縱走(神桌山至仙山),"苗栗縣三灣鄉,苗栗縣南庄鄉,苗栗縣獅潭鄉",中,8 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=398,https://cdntwrunning.biji.co/300_4d15e6fe47e7b7b6f79d2f9338be24c0f09d55fd2646c5ef602c45a5af0a1d12.jpg
大尖山、四分尾山步道,新北市汐止區,低,2 小時 20 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1030,https://cdntwrunning.biji.co/300_bda25cc5e8d2993b49829c0ab49a6c3e.jpg
烏山、刣牛湖山登山步道,"臺南市南化區,高雄市杉林區",低-中,8 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=549,https://cdntwrunning.biji.co/300_78e0db6c783e86c526670daec1e6d81188ecd51e02efdffbe7f47b2a93df2d00.jpg
馬那邦山、細道邦山步道,"苗栗縣大湖鄉,苗栗縣泰安鄉",低-中,3 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1416,https://cdntwrunning.biji.co/300_178466d7236f2051fa230154e2842e03.jpg
鳶山彩壁、福德坑山步道,新北市三峽區,低,2 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=1704,https://cdntwrunning.biji.co/300_cf98afdaab97f7775dfd6cb4604d8a27.jpg
七星連走(七星瀑布/七星公園/七星東峰/七星主峰/七星錐/七星南峰/七星池),臺北市北投區,低-中,6 小時,https://hiking.biji.co/index.php?q=trail&act=detail&id=1016,https://cdntwrunning.biji.co/300_232cf013df1d59c137343bc1a48bdb6c.jpeg
雲台山步道,連江縣南竿鄉,低,30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=827,https://cdntwrunning.biji.co/300_99d89651a0ce6f044aafda36a59bda31.jpg
毋忘在莒步道,台北市士林區,低,40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=703,https://cdntwrunning.biji.co/300_93335839f3301a75a949a02bc14d5b02.jpg
三腳南山登山步道,"嘉義縣大埔鄉,臺南市南化區",低-中,4 小時 20 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=780,https://cdntwrunning.biji.co/300_cf26df7535b554fdc15671edd44c8746.jpg
大湖尖山步道,"嘉義縣番路鄉,嘉義縣竹崎鄉",低-中,2 小時 40 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=792,https://cdntwrunning.biji.co/300_c03c0db5a9566ff8128acaa420af29c4.jpg
姜子寮古道,"基隆市暖暖區,新北市汐止區",低-中,4 小時 30 分鐘,https://hiking.biji.co/index.php?q=trail&act=detail&id=1156,https://cdntwrunning.biji.co/300_c5919b9df7e5d625aa22dc97786965a7.jpg
